#Frame     o_angle_m1   o_angle_m2
       1      42.6960      42.4526
       2      42.6328      41.5333
       3      44.6204      42.2441
       4      42.5902      41.5035
       5      43.0656      39.2189
       6      41.1344      40.0388
       7      42.1198      40.7748
       8      39.4753      41.4392
       9      39.3481      35.9324
      10      41.4552      39.2683
      11      39.5227      36.7047
      12      41.6349      39.9694
      13      43.6811      41.1924
      14      40.3633      39.9644
      15      41.0961      40.1837
      16      41.1932      42.6016
      17      43.1738      39.8258
      18      41.2155      38.3452
      19      43.5516      37.8571
      20      43.6843      39.1501
      21      42.8740      38.2147
      22      44.6863      40.3857
      23      43.4047      41.4993
      24      44.2655      39.6151
      25      43.1578      38.6232
      26      44.1749      39.4191
      27      44.7291      39.7908
      28      47.0678      38.0959
      29      45.0053      37.9893
      30      45.8069      41.4597
      31      43.4537      37.6961
      32      44.7683      39.5176
      33      42.2286      36.7569
      34      42.8364      38.4840
      35      46.3064      40.9465
      36      43.4046      36.2192
      37      43.2764      38.6539
      38      43.7592      36.8667
      39      45.8518      41.5659
      40      45.5900      38.3075
      41      45.2863      38.4200
      42      45.0415      41.8364
      43      41.8977      38.3075
      44      43.8918      37.3554
      45      44.5099      37.5034
      46      44.2320      38.9632
      47      46.0372      38.9360
      48      43.7374      36.7326
      49      43.2206      38.6507
      50      45.2880      39.5230
      51      45.7366      38.8123
      52      43.2683      37.0168
      53      48.4974      38.2332
      54      46.9277      39.0859
      55      46.2201      36.8409
      56      47.1414      39.1853
      57      46.6173      34.6918
      58      44.8204      37.6310
      59      46.5431      37.6448
      60      43.8901      38.5056
      61      40.5316      37.6681
      62      43.2029      39.8589
      63      42.9856      39.5684
      64      43.8430      39.7148
      65      40.9089      38.7217
      66      39.9015      37.7581
      67      46.2930      43.8454
      68      44.4436      41.8080
      69      45.0956      37.3135
      70      43.3908      40.2284
      71      43.7234      38.0233
      72      43.3663      36.3710
      73      42.2984      34.5457
      74      44.3329      38.0340
      75      42.9278      39.2911
      76      44.4157      38.8286
      77      44.4967      39.7048
      78      44.2363      37.5751
      79      45.3282      37.3310
      80      43.6493      37.4999
      81      42.8692      37.1978
      82      45.9267      40.4579
      83      46.2259      39.8607
      84      44.4186      40.3814
      85      43.5862      37.3271
      86      44.1040      38.7300
      87      43.5560      38.5609
      88      46.8385      38.5076
      89      44.1050      38.2443
      90      44.0414      38.6638
      91      41.5900      38.6826
      92      42.4256      38.0691
      93      44.1759      36.0328
      94      44.7326      39.1941
      95      46.1236      35.5772
      96      42.4838      36.9476
      97      41.7588      36.5535
      98      45.0883      39.5121
      99      42.9065      38.4507
     100      41.1516      36.6437
     101      40.8710      37.9604
     102      44.0589      39.1326
     103      42.7101      39.9420
     104      42.7471      39.2860
     105      42.3420      37.9275
     106      45.3149      37.7665
     107      47.5544      40.5200
     108      44.6538      37.6423
     109      43.6060      39.3297
     110      45.3228      41.6157
     111      42.9321      37.3773
     112      43.9783      35.0213
     113      38.5906      33.5006
     114      45.7704      41.0531
     115      41.7684      35.2835
     116      43.6928      36.3686
     117      42.7629      35.3883
     118      41.9766      39.6733
     119      42.9254      37.7695
     120      44.0864      39.2691
     121      41.9693      35.2599
     122      45.2442      37.8653
     123      44.4044      36.1098
     124      47.3981      38.9621
     125      45.7936      39.2355
     126      44.6807      40.8922
     127      43.6251      37.3991
     128      43.2444      40.9907
     129      44.7824      40.6991
     130      43.0694      40.2123
     131      42.6749      40.9296
     132      41.7442      38.9272
     133      42.5960      37.1146
     134      45.4698      39.5158
     135      37.4744      38.3341
     136      40.5568      39.1397
     137      43.0484      40.3098
     138      42.0890      37.1080
     139      38.1686      36.1222
     140      37.8147      38.8696
     141      36.9440      38.5786
     142      39.2801      41.0407
     143      38.4620      39.0061
     144      37.6688      37.7456
     145      36.6446      39.8729
     146      38.6219      36.6274
     147      40.6606      40.5554
     148      41.9191      39.6182
     149      38.3849      39.2724
     150      38.1059      37.4450
     151      40.4888      38.3456
     152      40.9469      38.6966
     153      42.5312      40.3654
     154      41.6454      37.3575
     155      41.3707      38.8391
     156      39.8566      40.0060
     157      40.0294      36.3645
     158      39.1779      35.7393
     159      38.5123      38.2585
     160      39.1694      37.1070
     161      41.9727      39.1638
     162      40.8170      37.4780
     163      43.0963      41.4209
     164      38.4084      36.1897
     165      40.0188      38.5980
     166      41.4662      38.3392
     167      39.4991      37.9976
     168      38.7677      40.5511
     169      38.1976      38.6611
     170      38.8624      40.4467
     171      39.7891      40.9556
     172      41.3044      40.7590
     173      41.7687      38.9258
     174      41.2162      37.6407
     175      40.4638      36.7605
     176      37.6761      39.3071
     177      39.6089      38.1826
     178      41.8116      38.6525
     179      41.1170      39.2364
     180      40.6454      40.1663
     181      41.7183      39.5480
     182      40.7692      39.6024
     183      38.8047      38.5632
     184      37.6123      40.5372
     185      39.9870      43.6757
     186      40.7567      41.9793
     187      40.2070      39.4204
     188      42.2650      42.0856
     189      38.4123      44.4461
     190      35.1033      39.8444
     191      40.2725      43.3605
     192      36.0378      41.9594
     193      39.7060      40.7478
     194      37.7572      39.4579
     195      39.5131      40.2880
     196      38.5192      43.6568
     197      37.6491      42.6542
     198      34.3784      38.7377
     199      38.7922      39.7616
     200      40.6193      40.5376
     201      40.2137      41.6211
     202      40.4801      40.0146
     203      40.3544      44.7467
     204      42.3380      40.5781
     205      39.8758      43.3032
     206      38.7921      43.9262
     207      43.0727      40.3238
     208      43.0156      42.8755
     209      42.6253      42.9622
     210      42.9228      41.4687
     211      42.2312      40.5978
     212      42.0580      38.0726
     213      40.2479      39.3778
     214      39.7662      35.7647
     215      41.6068      40.4839
     216      43.2663      37.0957
     217      43.8364      37.0028
     218      40.9598      38.6534
     219      43.6556      39.0489
     220      45.8691      39.0578
     221      46.4955      36.3013
     222      40.2148      36.0331
     223      39.4826      35.6094
     224      39.6791      36.0014
     225      39.2033      36.5009
     226      39.0423      36.9520
     227      39.7677      35.2784
     228      39.3865      37.5634
     229      41.7257      40.3340
     230      43.1750      37.9914
     231      41.9354      34.0236
     232      42.9985      36.9287
     233      40.1583      35.8648
     234      41.3842      40.2414
     235      42.3422      38.0419
     236      41.6596      39.3180
     237      42.4512      41.4470
     238      44.8523      37.3129
     239      45.4901      38.5452
     240      41.2386      35.1863
     241      42.0568      40.6400
     242      43.1708      40.1839
     243      44.2242      41.9107
     244      46.1946      43.3417
     245      40.7559      43.4718
     246      42.3608      40.5899
     247      41.8735      41.0558
     248      40.5612      38.1160
     249      38.4854      42.6253
     250      40.7817      38.9885
     251      41.8161      38.9498
     252      42.6423      39.2794
     253      42.2413      38.2391
     254      42.8262      42.0507
     255      43.0764      38.9022
     256      40.1349      43.5472
     257      38.1265      39.3601
     258      37.8656      39.4261
     259      37.4431      39.1346
     260      35.6568      35.0497
     261      37.6562      35.7335
     262      36.9633      37.7244
     263      37.5771      38.8650
     264      35.6285      40.0210
     265      38.3634      40.1178
     266      35.4128      38.9675
     267      36.7689      39.3388
     268      39.8767      41.2158
     269      38.4043      39.7049
     270      42.1949      43.8577
     271      41.2878      41.6557
     272      44.3927      43.5396
     273      42.5434      42.7978
     274      39.5758      42.1532
     275      42.6594      41.4384
     276      43.0475      39.5390
     277      41.2056      42.2809
     278      43.2129      41.3814
     279      45.4713      41.1932
     280      44.2848      43.0029
     281      41.4200      42.7726
     282      41.0452      42.5349
     283      39.0191      40.1823
     284      39.5555      42.0421
     285      38.6818      40.6516
     286      42.8212      39.7983
     287      42.3616      40.9930
     288      41.4924      40.9490
     289      40.3209      38.8411
     290      41.8394      41.0661
     291      40.1364      41.8493
     292      40.3602      37.1952
     293      41.4406      42.0702
     294      40.4628      43.0262
     295      38.8695      40.4685
     296      41.4151      39.5371
     297      39.4238      37.8315
     298      38.1925      37.9522
     299      37.2735      36.1452
     300      40.0446      36.0163
     301      39.9839      40.2967
     302      43.6351      39.8896
     303      40.2427      43.6956
     304      42.6236      38.9237
     305      40.4282      39.4717
     306      46.0458      43.3231
     307      42.5307      40.3119
     308      38.2035      40.1001
     309      36.2202      37.6766
     310      37.4065      36.2959
     311      39.5416      41.3687
     312      41.5244      35.6938
     313      38.9090      36.4903
     314      34.4296      39.9378
     315      36.4052      36.3996
     316      34.9595      40.9447
     317      34.9535      37.8910
     318      36.1315      40.5902
     319      37.2031      40.5593
     320      41.0523      43.3553
     321      38.5323      42.1788
     322      36.2741      38.4757
     323      40.1563      41.8300
     324      39.4490      45.2137
     325      41.5989      42.5290
     326      38.0688      41.6452
     327      37.3120      39.6343
     328      41.5117      40.4199
     329      37.9657      41.1712
     330      36.0800      37.9355
     331      37.4732      39.9589
     332      38.7130      38.7420
     333      37.6115      39.4804
     334      37.1403      38.2986
     335      37.4014      37.2055
     336      39.1807      35.8815
     337      37.6541      38.6754
     338      37.3983      38.8372
     339      40.8097      40.6279
     340      37.2379      36.5870
     341      40.3918      43.1055
     342      39.5266      37.9285
     343      38.9952      40.5675
     344      39.5519      37.1945
     345      37.6673      36.8144
     346      34.0178      38.4338
     347      36.3606      40.2998
     348      39.4132      41.7761
     349      39.0670      41.1931
     350      41.2714      39.0348
     351      43.7453      39.0306
     352      40.9474      38.9015
     353      39.2758      39.1316
     354      39.2615      39.7171
     355      41.6798      37.7293
     356      40.1607      37.6622
     357      39.1244      38.2901
     358      39.7969      38.2166
     359      41.0708      39.4394
     360      36.3638      36.7129
     361      36.8341      40.0582
     362      39.9857      44.2867
     363      38.3827      40.8103
     364      40.4970      40.9771
     365      42.1757      41.9526
     366      41.4273      44.6960
     367      41.0291      39.7950
     368      42.0334      43.3770
     369      41.2628      42.1748
     370      37.8697      39.0548
     371      42.7118      42.8734
     372      40.1539      42.4726
     373      41.7427      44.6657
     374      37.4798      39.8843
     375      41.6412      43.9950
     376      38.6984      41.2450
     377      38.7611      36.9915
     378      41.9835      41.5553
     379      40.2278      37.4203
     380      41.7545      40.3883
     381      37.9835      38.5572
     382      40.0624      38.9852
     383      36.1293      37.1949
     384      42.5508      44.7892
     385      41.2565      40.2637
     386      38.9798      39.9100
     387      38.2456      39.7227
     388      41.5301      40.8416
     389      41.6071      42.4097
     390      40.4462      43.2540
     391      39.7932      43.2041
     392      41.0690      41.9103
     393      36.4780      40.5352
     394      38.6666      41.5043
     395      40.1269      41.1012
     396      36.7748      39.1323
     397      40.6761      40.5849
     398      37.1271      39.7111
     399      38.9155      37.3008
     400      38.5308      42.1638
     401      42.9487      41.0589
     402      39.7921      41.0586
     403      42.0383      41.3509
     404      42.1645      42.1939
     405      39.5690      40.5879
     406      42.5033      38.6704
     407      43.9409      42.1893
     408      41.7078      41.0846
     409      39.9855      39.4896
     410      42.1278      38.0350
     411      39.5798      39.1798
     412      39.9186      38.3897
     413      41.7628      39.9262
     414      41.7653      38.4438
     415      41.1687      37.3989
     416      38.7282      38.8355
     417      39.3858      39.1184
     418      41.6213      39.7475
     419      38.7490      36.1807
     420      37.7593      38.4426
     421      42.0809      36.8409
     422      38.7609      39.2896
     423      42.7709      40.3058
     424      41.0369      36.0309
     425      43.4298      40.1307
     426      38.1539      36.8167
     427      40.4201      41.5258
     428      40.6160      40.3766
     429      39.8899      40.7338
     430      40.9466      42.6723
     431      40.7127      39.5336
     432      41.6834      42.1393
     433      40.4090      38.5873
     434      38.3980      40.4523
     435      39.6555      40.6824
     436      41.4857      40.1872
     437      42.6854      39.6276
     438      38.0464      40.3756
     439      40.1994      39.1637
     440      40.7689      39.4726
     441      43.1196      42.0872
     442      40.7162      40.1751
     443      40.7412      41.4435
     444      41.1396      41.9807
     445      40.2865      40.7781
     446      42.3918      41.9503
     447      41.4071      38.1583
     448      40.2389      40.1413
     449      40.0100      41.2473
     450      39.3307      41.0877
     451      40.4940      42.1698
     452      42.6170      43.0869
     453      41.0292      44.2563
     454      41.8333      42.1182
     455      42.7730      41.4696
     456      39.7354      43.4233
     457      42.7700      43.1956
     458      42.1660      42.9674
     459      42.4173      40.0440
     460      45.0143      42.9453
     461      37.9366      42.5878
     462      41.2110      44.0370
     463      39.3059      42.2287
     464      38.9411      43.0800
     465      41.2588      43.4717
     466      38.6331      43.5624
     467      39.2569      43.3736
     468      39.9021      42.0294
     469      40.9122      41.3596
     470      41.2288      43.3195
     471      39.6880      43.0017
     472      40.0631      45.8299
     473      43.7121      44.6658
     474      41.4633      42.5476
     475      41.0844      42.6970
     476      40.2638      41.8662
     477      40.6300      43.5287
     478      40.4774      43.4827
     479      41.5391      40.2670
     480      39.4116      43.7388
     481      40.8554      42.0684
     482      38.7993      41.4066
     483      39.2664      43.4438
     484      39.2933      42.9268
     485      35.6422      43.2267
     486      38.8900      42.6601
     487      41.9274      44.2782
     488      41.5491      43.5728
     489      41.4139      42.9967
     490      39.9623      41.1435
     491      36.1284      41.9179
     492      37.9069      43.0677
     493      40.0347      43.7434
     494      40.8728      41.7534
     495      38.9158      44.1891
     496      41.2210      45.5448
     497      40.5163      42.5762
     498      36.6373      42.4833
     499      39.9492      43.9573
     500      39.1012      43.5837
     501      38.1917      42.9712
     502      39.2495      39.3366
     503      41.9172      41.4865
     504      40.5432      40.6156
     505      41.3363      42.8303
     506      39.8521      41.5013
     507      38.9278      41.1875
     508      35.3266      38.6872
     509      37.5937      43.4327
     510      39.5110      39.8996
     511      36.0193      40.8943
     512      37.8190      39.7618
     513      37.2310      37.4620
     514      39.4832      40.3127
     515      38.1592      41.8325
     516      37.1909      38.8716
     517      35.1334      40.9292
     518      34.7481      39.4606
     519      33.9987      41.0455
     520      33.1283      38.6060
     521      34.7093      39.4328
     522      34.7998      42.4487
     523      38.8235      42.9331
     524      35.2955      39.7344
     525      35.6631      42.5446
     526      35.0628      40.9004
     527      33.1826      41.4501
     528      36.1812      42.1575
     529      38.0108      42.7480
     530      36.0991      41.1461
     531      37.7424      41.9934
     532      31.1450      39.5485
     533      34.7151      42.4003
     534      35.9645      43.8739
     535      36.7254      43.2740
     536      38.8956      39.8909
     537      36.3783      39.0808
     538      31.8359      39.1995
     539      32.5981      37.9144
     540      33.8740      38.8296
     541      37.0107      40.0382
     542      33.6438      39.0691
     543      35.3895      39.5984
     544      35.8188      40.1514
     545      38.2098      40.6962
     546      38.5014      40.1780
     547      37.6444      40.1570
     548      39.9583      41.8987
     549      36.0665      41.6898
     550      37.7232      40.2154
     551      36.3085      38.3578
     552      37.2057      39.1712
     553      37.4567      39.8251
     554      35.5687      39.5611
     555      31.4386      38.8528
     556      35.1784      39.9747
     557      35.5002      41.1079
     558      32.8709      37.6462
     559      34.1610      39.8836
     560      31.3641      39.9037
     561      34.1394      39.5868
     562      36.1318      41.1303
     563      35.5899      42.2994
     564      35.5486      39.3293
     565      36.8736      40.1483
     566      35.1612      40.3294
     567      35.4537      39.8901
     568      34.4736      40.9905
     569      37.2231      39.6737
     570      34.9149      37.9559
     571      36.0864      41.9695
     572      36.4807      37.9257
     573      34.6850      35.2625
     574      35.2548      40.0194
     575      36.5395      37.5379
     576      38.2473      38.7620
     577      36.6901      39.0588
     578      35.5956      39.8565
     579      37.5510      40.9291
     580      34.7863      40.8377
     581      35.9734      38.7935
     582      34.2764      41.4450
     583      37.1868      38.9424
     584      34.2993      41.8285
     585      38.7332      41.5229
     586      37.0267      40.1331
     587      37.6886      40.9764
     588      36.4349      44.0269
     589      37.1934      41.3598
     590      36.9293      43.5353
     591      36.6192      41.8688
     592      36.6716      42.9778
     593      35.6667      40.6339
     594      36.5891      41.5412
     595      33.3168      41.9522
     596      37.3467      40.7796
     597      36.4962      41.0078
     598      34.7781      42.3553
     599      36.5289      41.4461
     600      36.2205      39.7079
     601      31.7769      39.6976
     602      34.7837      41.5758
     603      32.2724      38.8959
     604      33.3829      39.2002
     605      32.1425      40.9948
     606      34.8006      42.3597
     607      33.1413      40.4245
     608      35.6471      41.5397
     609      30.9573      43.9906
     610      33.0817      43.9092
     611      32.3208      39.6219
     612      36.1831      38.1242
     613      34.2352      39.6505
     614      34.2825      39.1798
     615      33.6955      41.8945
     616      33.6799      40.0125
     617      33.3627      38.3032
     618      34.6984      42.5882
     619      34.3656      38.8244
     620      35.5116      38.3882
     621      34.5120      38.1003
     622      34.4240      39.4252
     623      35.5821      39.6684
     624      34.2413      39.5030
     625      34.9994      38.6686
     626      37.0726      39.2505
     627      35.9694      39.1866
     628      38.0698      40.3189
     629      36.2052      40.9166
     630      34.3859      41.0087
     631      31.1658      39.1126
     632      31.6868      42.4200
     633      34.2871      39.2413
     634      33.8221      39.3715
     635      31.3048      37.5866
     636      31.3892      39.0014
     637      32.8066      38.6124
     638      38.7856      40.5528
     639      33.5761      42.1978
     640      34.8065      40.2943
     641      35.2764      43.5017
     642      34.0890      39.5213
     643      34.2056      38.4520
     644      33.2686      36.3086
     645      34.9267      40.6334
     646      35.1033      37.7077
     647      34.3139      37.2356
     648      36.8184      41.6258
     649      35.1477      40.5890
     650      33.7640      39.3610
     651      32.1900      41.6704
     652      34.6588      41.9528
     653      34.1969      42.2640
     654      34.1605      40.0079
     655      38.5638      41.2082
     656      37.3527      41.0106
     657      33.6200      40.0177
     658      33.0990      41.4967
     659      36.2067      39.6631
     660      33.8345      37.6265
     661      34.0218      39.4883
     662      34.4288      39.7889
     663      34.5945      41.3181
     664      35.0055      41.7656
     665      34.9716      39.5018
     666      37.2560      41.9809
     667      34.9248      37.8700
     668      33.9946      38.7663
     669      37.2002      41.1380
     670      37.1581      38.2452
     671      33.4584      37.2617
     672      34.3227      39.2790
     673      33.0706      38.5983
     674      34.0252      38.6966
     675      32.9300      39.7901
     676      36.5951      38.3349
     677      37.9225      39.2044
     678      34.4822      41.0941
     679      35.9096      40.9085
     680      36.3692      42.5515
     681      35.2715      38.1905
     682      33.1431      40.6978
     683      35.3847      38.7595
     684      35.9849      39.4223
     685      34.0456      39.0077
     686      32.1641      41.0958
     687      33.8956      39.4845
     688      33.0396      41.3075
     689      35.0428      42.0986
     690      34.0396      40.9383
     691      33.7896      38.3419
     692      33.5138      39.2821
     693      31.4366      40.5510
     694      32.8633      40.9920
     695      30.7602      38.6388
     696      32.5708      39.8487
     697      34.0667      39.8321
     698      34.0839      38.3806
     699      36.9603      39.7918
     700      36.3246      37.5653
     701      35.6121      38.7342
     702      37.1993      37.6450
     703      35.8238      39.2144
     704      35.1910      39.2495
     705      32.1633      38.9286
     706      35.8176      35.8927
     707      35.5642      39.1335
     708      34.1992      40.1488
     709      34.8860      38.9557
     710      33.2351      39.5639
     711      35.0018      38.5783
     712      33.5040      36.8832
     713      33.1490      34.6681
     714      36.4416      40.9502
     715      33.8106      40.8245
     716      33.6127      37.4667
     717      34.7565      38.3683
     718      36.8929      39.7109
     719      36.4587      41.5722
     720      35.2149      38.1817
     721      35.9117      39.8592
     722      31.6349      38.5190
     723      34.3741      39.6042
     724      34.3973      39.3351
     725      34.6343      38.3742
     726      31.4730      38.7853
     727      34.2100      38.5118
     728      35.9236      38.6766
     729      34.6560      40.2857
     730      34.2703      39.9629
     731      33.4453      40.4244
     732      36.1164      40.7270
     733      32.2915      38.8987
     734      31.7339      37.4090
     735      36.4244      38.3853
     736      35.4546      40.2527
     737      35.8602      39.5816
     738      37.4612      39.0727
     739      33.8235      38.8333
     740      36.3492      39.0765
     741      34.1921      39.3012
     742      34.3537      41.6245
     743      34.7092      41.2495
     744      33.7519      40.5662
     745      32.1154      41.7890
     746      36.3291      38.9676
     747      31.1150      38.4797
     748      32.2834      41.9564
     749      31.2445      39.9325
     750      33.8758      40.4715
     751      32.9769      41.6415
     752      31.3532      39.6127
     753      30.4146      39.6184
     754      32.1550      39.0826
     755      35.5574      43.9346
     756      34.2642      39.7999
     757      33.0799      39.6920
     758      32.2609      40.3572
     759      31.2530      44.5711
     760      35.0101      40.5594
     761      33.2860      40.9817
     762      31.5339      41.3627
     763      32.8941      41.6008
     764      31.0856      40.6779
     765      36.1914      42.0965
     766      33.9670      41.4598
     767      33.6093      40.9671
     768      30.7016      38.1161
     769      32.8675      39.4394
     770      32.5048      41.0538
     771      32.1964      39.8542
     772      31.3531      40.0101
     773      35.1462      40.5546
     774      34.4283      41.8885
     775      35.5049      42.5222
     776      31.0392      41.3057
     777      34.5904      43.1345
     778      34.6795      38.0604
     779      34.4245      43.5848
     780      36.4909      42.4796
     781      35.3056      39.7131
     782      32.4329      41.3947
     783      32.7529      38.8302
     784      34.6943      41.9993
     785      35.7089      41.1142
     786      33.6126      39.7130
     787      32.7084      38.5742
     788      32.5164      40.1603
     789      35.8320      41.5790
